"","ASCs..Plasmablasts.","Basophils","Bcells","CD3.Tcells","CD3CD19","CD3CD19neg","CD4Tcells","CD8Tcells","Classical_Monocytes","Intermediate_Monocytes","Monocytes","NK","NaiveCD4","NaiveCD8","Non.Classical_Monocytes","TcmCD4","TcmCD8","TemCD4","TemCD8","TemraCD4","TemraCD8","pDC"
"1",0.989865622866287,0.574343753920013,11.8011145899618,13.2174703577281,1.05450121618256,9.58999375760474,12.9291583413183,12.9424620893996,7.36503633123095,0.489542935642474,7.52600619333641,3.68054940871888,12.8836502154182,12.6688470997314,0.0510240030244669,10.5801671593663,2.03280614508324,6.81438379127754,5.6964946619401,1.11902410314227,5.5033487351675,0.625738061908648
"3",0.248534836138679,1.10097764772482,12.5126041853778,13.0245724799974,0.248534836138679,13.4502671259335,13.0245724799974,13.5592304473207,13.3200355710958,0.466757615726172,13.0245724799974,4.95391705206277,11.4878330011699,7.30452929441515,1.69376571221778,7.10208068587437,0.878136766626948,8.38824120868922,3.7723079749584,0.470927257475127,2.28658548326394,1.33628338786443
"4",0.61,0.651779474,7.237643395,26.19570686,0.40613852,14.72730212,16.9656171,9.595250183,5.657937572,0.272732033,5.490837979,5.033476833,7.88350381,6.639818421,0.362428544,5.189421275,1.734739641,3.31763265,0.801121889,0.284570151,0.277285155,0.098802756
"5",1.63598650374562,1.02076886509457,9.18942677476242,13.0194312308557,1.11303366529989,13.1258247801275,12.2459302650425,13.1258247801275,13.0194312308557,0.671746266863223,13.1258247801275,7.88586106908043,7.09733689452433,6.08516968054595,1.34369206917902,6.22762556937071,0.522055749160964,4.83935497965465,3.76807843501646,0.205392512989685,2.84438565300257,1.28688114778816
"6",0.75,0.84015943,13.68508836,46.65823958,0.064517362,14.51712339,28.27724305,16.51333837,22.7930283,0,22.7930283,7.158798735,9.122755035,2.291561129,2.390009845,9.329210594,1.401221529,9.237452568,5.706680175,0.241820632,6.991053592,0.960830792
"9",1.21598915414672,0.480265122054463,10.2864514903251,13.1874499714613,0.730313886293776,12.6627978651586,12.6627978651586,12.7425420761146,4.99552974371853,0.445726703349984,5.72295776851069,11.4680069221024,12.6466464571844,10.0375812707529,1.13750352374994,10.8447104714028,1.37962096205571,4.91814767387683,5.04657836662033,1.62620548295304,3.98167002210513,0.00667615616160718
"10",1.6535186707536,0,14.5775735741666,13.2379659225205,1.04753838876336,12.1925739276532,14.5775735741666,13.2379659225205,11.7990358890663,0.87263179113525,13.4642547315383,7.36878580657233,11.2023020064841,7.17567429189613,1.08814159686902,10.0848256575311,1.51551061996901,8.17664191765689,5.79082415740612,0.956800118051576,5.89898222676136,0.950095094173686
"11",0.58,0.984622193,5.831004714,68.29937654,0.340460157,12.39003744,46.24226916,23.20339461,10.3001688,0.490348276,10.79051708,7.188562823,21.39438776,9.956496758,0.522824035,13.25760415,2.175162111,10.02073452,5.449503763,1.133082806,5.277132426,0.714109825
"13",0,0.903809558578697,12.7315965109732,12.7315965109732,1.10165007609443,12.6942790897158,12.7315965109732,12.7315965109732,4.5652315818055,1.75060650483559,5.03046851063771,7.62260828483091,12.5154342357536,10.4790789518909,1.21971063954878,11.0956719526422,1.62807365419614,6.27869104875493,3.43562859405209,1.33571191032046,4.79410389855975,0
"15",0.55,0.328578285,13.25281487,46.08971383,0.880457618,23.27177736,19.65017743,25.25080059,14.26955064,0.8160953,15.63736791,14.59340798,8.777509383,11.53454557,1.613306791,6.710361704,1.512435775,3.999748216,8.272682209,0,3.823184597,0.186005524
"17",0,0.361119994,17.01375519,56.28642472,0.889747455,9.567721964,28.53370054,24.50721261,13.67165491,0.7857623,14.45741721,3.675592422,9.883158103,10.31889506,0.729636422,11.44445822,1.335056267,6.370069679,4.547718962,0.117690311,7.842395052,0.671987748
