"","O14625","O43508","P01133","P01579","P02778","P05112","P05231","P09603","P10145","P10147","P13232","P13236","P13500","P14210","P15692","P22301","P35225","P39900","P48061","P50591","P51671","P80075","P80098","Q07325","Q14116","Q99616","Q99731"
"61",507.47346,255.25854,140.56055,0.22916,57.60492,0.04845,0.98541,123.75999,17.1014,12.84252,0.65781,60.43802,214.22651,85.82429,176.05107,6.63797,0.03025,190.79014,178.36652,255.51643,191.87436,15.23686,2.13537,109.28744,154.02999,144.83908,100.86732
"62",176.34156,342.01427,118.15512,0.20616,44.16681,0.0088,0.51209,104.9395,2.7972,2.52618,0.43545,28.01917,190.3947,112.33336,167.06268,1.61784,0.04228,186.29201,420.07815,360.70484,189.43632,6.55029,0.84603,20.41694,154.10515,107.41612,94.72261
"63",268.2135,245.15329,155.99419,0.08554,34.72286,0.00772,0.2787,69.91051,4.30048,1.90976,0.88715,19.68157,130.38135,73.23686,88.45425,1.48389,0.12771,97.37101,174.16522,200.22555,171.79249,27.19082,0.84678,33.14306,108.42327,235.02449,209.67097
"64",441.63617,363.83426,295.2277,0.64985,58.84671,0.00878,1.1461,115.56815,4.82927,4.45097,0.94179,90.00912,356.53773,101.9367,202.01857,5.73663,0.14732,213.28319,171.04014,489.06829,318.19523,32.61131,1.43,57.08486,156.50062,220.31805,78.39164
"65",574.83313,410.9326,258.8427,0.21097,69.04288,0.01197,2.14369,136.34449,13.57019,11.365,0.73637,101.17537,322.56587,147.78026,225.298,7.09966,0.34033,222.93512,177.75467,468.72046,300.00562,63.21269,1.61659,56.20225,339.68834,624.05554,169.17528
"66",174.1406,316.36127,368.91671,0.34091,83.19056,0.0099,11.74543,119.57524,4.82335,5.8071,0.91124,67.96056,279.09629,150.1563,228.75458,3.8909,0.36598,200.60332,188.82478,348.59388,53.77182,52.94493,0.70482,46.38606,240.91254,93.28874,115.41953
"67",359.04305,292.12589,82.56121,0.29844,79.99991,0.01601,4.43174,133.68369,7.28871,6.13319,0.98595,86.06234,245.05241,144.55705,241.62476,6.95371,0.15851,160.87305,94.53291,356.18558,201.20445,43.31539,4.30705,48.47396,291.67923,287.39899,64.25795
"68",447.10809,257.32728,82.61401,0.16093,91.50004,0.00916,2.26006,112.73342,14.73112,6.50128,0.4819,79.31719,338.83777,230.85202,206.49011,7.92522,0.03073,441.20201,135.45459,314.25904,284.2402,29.92273,7.34487,66.22836,265.42014,606.31259,107.48543
"69",452.95417,335.74874,140.60198,0.0636,83.89545,0.03707,2.06559,107.21364,6.98744,3.07411,0.73955,57.87799,250.03884,123.61731,136.43209,3.7776,0.13236,214.79535,164.19256,367.62368,266.45248,19.5947,1.68565,72.72014,228.1338,283.8233,95.59609
"70",336.10169,359.0826,93.7919,0.1762,55.67305,0.00998,1.7832,134.31066,5.14799,2.71405,0.61124,33.33512,326.47734,121.58036,159.0507,6.70154,0.159,130.99806,147.51899,499.90103,277.12934,41.22181,1.5203,34.58776,195.93473,474.79616,69.45457
"71",498.12666,351.42333,291.20315,0.20334,76.59617,0.01193,0.95747,115.34549,4.62191,9.47302,2.11079,817.9592,271.90347,94.25538,217.02341,5.76579,0.03655,169.80558,154.16906,263.21755,236.73595,53.93172,1.0481,63.65678,220.81417,291.62784,145.57996
"72",446.13107,314.92924,81.81067,0.21984,60.2194,0.0265,7.29108,128.92522,3.4916,3.37874,0.40026,45.09708,254.89778,119.8997,189.02186,7.94721,0.48583,256.33011,203.91373,435.66749,291.85182,19.29932,1.39269,41.7021,153.92928,445.29375,82.25982
"73",306.24055,225.13757,131.9635,0.16109,45.33613,0.00977,0.59038,145.56102,4.56176,3.27362,0.62559,50.12137,205.36364,82.93183,219.87905,4.76274,0.0935,218.21369,150.45854,307.99176,188.74111,16.30323,1.60788,36.71114,157.33451,176.80358,104.55885
"74",389.43592,439.98451,197.04649,0.16512,45.92172,0.00885,0.74907,104.26379,4.03812,3.16258,0.98685,54.01277,255.18673,89.64261,141.84151,4.03943,6.92,204.8846,144.75005,315.58267,299.58326,8.93686,2.05217,42.31552,250.90693,549.31551,95.89666
